전국순위,기초,sido,인구,자연휴양림_개소,자연휴양림_수용인원,국립휴양림_개소,국립휴양림_연이용자,치유의숲_개소,치유의숲_면적ha,유아숲체험원_개소,수목원_개소,산림교육센터_개소,휴양림수용_10만명당,치유의숲ha_10만명당,유아숲_10만명당,수목원_10만명당,산림교육센터_10만명당,국립휴양림이용_천명당,접근성_상대_0to100,종합공급점수,시도_미충족잠재수요율,z_수요격차,z_공급부족,우선확충지수,우선확충지수_0100,등급,유형
171,전남 함평군,전남,30010.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,3.332,0.0,0.0,0.0,59.7,-0.2,24.088,-1.505,0.329,-0.724,55.6,3순위(관찰),B. 공급취약·수요低 → 인지도/홍보
172,전남 진도군,전남,28478.0,0.0,0.0,1.0,55175.0,0.0,0.0,1,0,0,0.0,0.0,3.511,0.0,0.0,1937.46,49.2,-0.187,24.088,-1.505,0.308,-0.746,55.3,3순위(관찰),B. 공급취약·수요低 → 인지도/홍보
173,전북 순창군,전북,26822.0,2.0,400.0,1.0,30104.0,0.0,0.0,0,0,0,1491.313,0.0,0.0,0.0,0.0,1122.362,70.4,-0.229,21.831,-1.638,0.377,-0.769,54.9,3순위(관찰),B. 공급취약·수요低 → 인지도/홍보
174,전남 여수시,전남,267816.0,1.0,246.0,0.0,0.0,0.0,0.0,3,0,0,91.854,0.0,1.12,0.0,0.0,0.0,64.1,-0.156,24.088,-1.505,0.256,-0.798,54.5,3순위(관찰),D. 공급보유·수요低 → 유지
174,광주 남구,광주,207597.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.963,0.0,0.0,0.0,71.4,-0.456,12.142,-2.21,0.75,-0.797,54.5,3순위(관찰),B. 공급취약·수요低 → 인지도/홍보
176,전북 군산시,전북,258047.0,1.0,1032.0,1.0,121683.0,0.0,0.0,1,0,0,399.927,0.0,0.388,0.0,0.0,471.554,79.8,-0.204,21.831,-1.638,0.335,-0.812,54.3,3순위(관찰),B. 공급취약·수요低 → 인지도/홍보
177,광주 서구,광주,279050.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,1.075,0.0,0.0,0.0,68.1,-0.438,12.142,-2.21,0.721,-0.826,54.1,3순위(관찰),B. 공급취약·수요低 → 인지도/홍보
178,강원 평창군,강원,40396.0,1.0,80.0,1.0,34177.0,0.0,0.0,1,1,0,198.039,0.0,2.475,2.475,0.0,846.049,71.0,0.886,64.119,0.857,-1.458,-0.858,53.6,3순위(관찰),C. 공급보유·수요高 → 접근성/연계
179,광주 광산구,광주,391611.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,1.277,0.0,0.0,0.0,77.3,-0.408,12.142,-2.21,0.671,-0.876,53.3,3순위(관찰),B. 공급취약·수요低 → 인지도/홍보
180,충북 제천시,충북,128569.0,2.0,3000.0,0.0,0.0,1.0,57.0,2,0,0,2333.377,44.334,1.556,0.0,0.0,0.0,82.9,0.482,47.053,-0.15,-0.793,-0.898,53.0,3순위(관찰),D. 공급보유·수요低 → 유지
181,전북 고창군,전북,50982.0,0.0,0.0,0.0,0.0,1.0,110.0,0,0,0,0.0,215.762,0.0,0.0,0.0,0.0,69.7,-0.136,21.831,-1.638,0.224,-0.923,52.7,3순위(관찰),D. 공급보유·수요低 → 유지
182,경남 사천시,경남,108504.0,2.0,500.0,0.0,0.0,0.0,0.0,4,0,0,460.813,0.0,3.687,0.0,0.0,0.0,68.7,0.198,34.859,-0.87,-0.326,-0.935,52.5,3순위(관찰),D. 공급보유·수요低 → 유지
